576ec01c-6c21-4c3a-840b-782c3fef7f1f,Блинов Тимур Венедиктович,63,М,Врач функциональной диагностики,183779,бюджет,1975-07-06,272,ijakusheva@ao.info
8e2164d0-d301-412d-b4a5-6704d7efc4a0,Леон Викентьевич Гущин,83,М,Малоинвазивный хирург,91793,платный,2022-10-12,738,dobromisl_00@zao.biz
67d93b3c-21e7-4329-b3c5-1f83d86f3fac,Элеонора Даниловна Кузнецова,89,Ж,Проктолог,192120,платный,2009-06-21,379,ivanna_1999@ooo.biz
afb5df37-e014-47e9-9804-4cc6fd2f2037,Миронов Пров Ефремович,75,М,Врач скорой помощи,89526,платный,1996-05-20,270,titovkuzma@oao.edu
0020caaa-d5d6-448b-882d-010d66986310,Савельева Мария Тимофеевна,67,Ж,Вертебролог,196608,бюджет,1972-01-15,965,nadezhda_1971@npo.ru
76effac5-6e7d-48c8-9c48-e5ea4e4db8cd,Семен Германович Константинов,50,М,Репродуктолог,122928,бюджет,2023-07-09,191,narkis_1996@rao.ru
54ff4469-eab1-45ab-8114-cbf08e9d9c0d,Третьяков Велимир Демьянович,39,М,Вертебролог,198057,бюджет,1979-05-16,611,komissarovnikita@achimgaz.com
ab1719e5-adef-4870-9c62-801de7640bda,Ия Георгиевна Федотова,91,Ж,Врач функциональной диагностики,163819,платный,1974-02-13,683,anastasija_2012@rao.ru
dcdbf7e8-a347-4b49-bc02-182f637987dd,Лыткина Мария Егоровна,63,Ж,Дефектолог,101579,бюджет,1997-07-28,100,nina2001@zao.org
ab155750-846a-447e-9a2a-1a5c01e596c1,Суворов Изот Васильевич,55,М,Врач МРТ,197847,платный,2020-07-27,947,foka24@ao.com
ec1f4639-2b03-416c-aecf-ad042f07cd3c,Евпраксия Робертовна Кузьмина,67,Ж,Колопроктолог,165722,бюджет,1997-12-03,485,fedotovippolit@ooo.info
f420bcd2-2637-4b30-92ea-31012ac9ed16,Мухин Ипатий Елисеевич,41,М,Детский психиатр,86910,бюджет,1986-03-19,263,afinogen04@zara.biz
a05c9bd0-c48f-41d9-b4dc-93cf715ebc3b,Кудрявцева Дарья Ильинична,35,Ж,Колопроктолог,188387,платный,1990-10-02,766,silinaelizaveta@kolesnikova.ru
91365a26-c17a-418b-8be6-d01c15cd542f,Моисеева Алла Георгиевна,30,Ж,Фельдшер,94707,бюджет,1978-06-23,272,tverdislavbogdanov@ao.info
0e0b39a8-80d9-40bc-8cfd-22ef2efa4e52,Артемьева Мария Артемовна,43,Ж,Онкоуролог,119339,платный,2000-09-27,912,shilovaanna@seliverstova.edu
cf639ec4-36ed-4769-9cdf-09aedb7cb618,Эрнст Дмитриевич Большаков,41,М,Диабетолог,106800,платный,1975-11-08,148,lavr02@solid-tovarnie.net
466d657f-84ae-45de-893b-90724b54fe99,Евдокимов Велимир Артурович,50,М,Генетический консультант,98311,платный,2022-04-09,232,evstafi31@zao.edu
c2d80f75-27e9-41ab-848f-b52899baffe5,Октябрина Афанасьевна Шарапова,76,Ж,Неонатолог,194314,бюджет,1971-03-15,332,zinovi15@oao.net
15f7421e-bb53-4700-a5b3-c3365a05e6c7,Евдокимова Агафья Захаровна,76,Ж,Венеролог,151196,бюджет,1976-12-07,925,galaktion83@rosteh.com
b5adbd6f-1fa7-4502-b272-d9ce01a1978e,Пантелеймон Антонович Ефимов,40,М,рофпатолог,46648,платный,1984-04-25,146,guljaevasinklitikija@rao.info
214dcbb4-830d-489e-bce2-c4d58605fa0e,София Ефимовна Дмитриева,81,Ж,Специалист по сонографии,137132,бюджет,2003-03-31,25,teterinvadim@strelkova.net
02d78478-b356-44bf-8974-1b43f69b057b,Меркушев Лукьян Ефимович,80,М,Специалист по сонографии,155482,бюджет,1994-12-26,957,kazimir60@bogdanov.info
be44aef3-39aa-402a-9c28-a1555eed4278,Зимина София Владиславовна,47,Ж,Бактериолог,185249,платный,1971-10-08,502,pelageja38@ooo.edu
9806e751-196e-4872-8379-6eddd4bea3ba,Геннадий Филиппович Тимофеев,89,М,Диабетолог,239185,бюджет,1978-01-19,871,anike11@ooo.com
700ec3f2-8f52-4fbc-b878-8486ccbe255d,Субботина Анастасия Архиповна,58,Ж,Подолог,128025,бюджет,1986-12-04,527,sidorovgalaktion@krasilnikov.net
c37ae80a-4f6e-4867-9c9a-771c78055a7d,Русакова Кира Леонидовна,55,Ж,Стоматолог,61133,платный,1978-01-06,573,komissarovauljana@maksidom.org
9c2dad3d-7409-4d28-9b1b-43696302e7f3,Васильев Виталий Демидович,54,М,Ожоговый хирург (комбустиолог),141302,платный,2021-03-19,143,mihailbobilev@gruppa.ru
e0a069c8-0dc4-4768-abe5-0e631165991b,Арефий Владиленович Ефимов,83,М,Фтизиатр,203778,бюджет,1996-10-13,659,cpahomov@ao.net
f7b65f6e-e5fa-480b-80c2-01919e2ad44a,Савельев Епифан Валерьянович,56,М,Токсиколог,68905,платный,1999-12-01,540,pankrat_00@npo.net
d1fefeea-cd2b-4775-8d5f-8b53d11dd75a,Емельян Ермолаевич Исаев,78,М,Специалист по клеточным технологиям,231319,бюджет,1974-08-17,779,tretjakovtaras@gmk.net
07e7bde3-d630-43d9-aed5-19ce576d893b,Корнил Александрович Фадеев,81,М,Трансплантолог,56104,бюджет,1986-10-26,51,adam21@oao.net
eb56cc50-6918-4ea2-9822-ae67de95afd6,Мясников Ефрем Яковлевич,29,М,Физиотерапевт,218020,бюджет,2012-01-16,971,osip1987@rao.ru
cca30de0-2f3e-4118-9eed-01b1724142b3,Евсеева Акулина Игоревна,75,Ж,Стоматолог-ортопед,193311,бюджет,1990-07-01,41,epifan_1988@ip.biz
512f9d69-33a3-4a67-9fd3-40e9776cef7a,Агата Сергеевна Колесникова,59,Ж,Нейрохирург,176993,бюджет,2003-06-10,932,vladilen1976@rao.com
e9b90d1c-8f67-447a-80cc-f59271a218d0,Костин Всеволод Эдуардович,55,М,Стоматолог-пародонтолог,157749,бюджет,1998-11-28,147,grigori79@npo.info
c65c5b73-9141-4490-a54a-b9b9ba7b0ce1,Савина Ольга Натановна,29,Ж,Невролог,185612,бюджет,1998-10-12,814,molchanovvsemil@rao.biz
619bda9f-33a5-44bc-84bd-a85ef767c74d,Смирнова Вера Кузьминична,63,Ж,Травматолог,211311,бюджет,1987-01-17,731,mir03@safonova.net
