2325a646-4f78-47d9-876d-e8eed0b18a5c,Костина Ульяна Максимовна,2019-10-10,Ж,59,771-157-851 1,4846758140775013,"п. Калуга, ул. Тепличная, д. 8/9, 559251",+7 656 403 2497,False
2b14715b-a3dd-4d86-b827-f1b8bf30880a,г-жа Жданова Клавдия Ниловна,2010-07-02,Ж,8,543-396-980 60,4250931231803362,"с. Октябрьский (Башк.), ш. Новоселов, д. 5, 631865",+7 476 360 9145,False
eec50dec-240d-4329-b36c-88a2cc07a473,Нинель Вениаминовна Лихачева,2007-01-02,М,70,619-174-871 83,1527484659905281,"клх Тихвин, наб. Терешковой, д. 125, 714118",+7 (734) 417-58-62,False
d4129b1a-e213-4c52-8344-465582add094,Ильин Добромысл Трифонович,2022-08-27,М,103,162-903-447 5,7671715211131652,"п. Раменское, пр. Нефтяников, д. 75 к. 459, 200216",+7 (486) 893-2105,True
d7560876-ab73-4b5a-927f-22d56a146494,Анна Валериевна Федосеева,2015-05-24,Ж,7,712-581-022 86,4881342534695980,"п. Белореченск, алл. Пирогова, д. 41 стр. 7, 752811",+7 (411) 129-8305,False
4f0b73cf-b971-4633-8c83-d306d89018fe,Новикова Ираида Афанасьевна,2004-11-16,Ж,96,071-526-483 ,3759018864720286,"ст. Белгород, бул. Болотный, д. 58, 530817",84467777822,False
525a6f39-ca47-4c15-946e-87c057579c28,Анжелика Игоревна Наумова,2002-06-30,Ж,77,121-776-346 88,8171136015507748,"ст. Юрюзань, ш. Л.Толстого, д. 8/8, 308834",8 (647) 179-3122,False
e5031eca-85c5-4d3c-8879-d182bdf5fc56,г-жа Рыбакова Октябрина Леонидовна,2020-03-13,Ж,86,966-473-487 39,2153171149725363,"к. Нурлат, ул. Городская, д. 4 стр. 68, 606393",8 (602) 279-3400,True
29d07252-8fc8-4d9e-8b71-39ea59c68a60,Феврония Ниловна Сергеева,2001-09-14,Ж,104,443-633-249 ,3683920800800585,"с. Нальчик, пер. Красногвардейский, д. 9/4 к. 2/6, 358919",8 (421) 078-8637,True
087bd5e6-e6e5-49c7-86f9-adf05bfe8b87,Тарасов Гостомысл Исидорович,2018-08-24,М,73,198-737-622 ,1633914785854136,"с. Можга, пр. Победа, д. 39 к. 758, 725908",+7 (417) 580-15-10,True
d1c6adb9-b340-4e0e-b24d-3d138121b409,Юлия Эдуардовна Дорофеева,2009-02-08,Ж,77,521-298-300 67,0820623929065491,"с. Тотьма, бул. 60 лет СССР, д. 630, 100098",+7 184 477 6581,True
78685f40-0964-40e9-8d46-9384f7acc8fa,Порфирий Яковлевич Мамонтов,1978-10-15,М,80,196-757-251 6,2580747625573773,"п. Медногорск, ш. Нижнее, д. 2/2 к. 850, 491646",8 (991) 176-7067,True
7f61d05a-e362-459e-ac12-2a52c62d52bb,Аверьян Адрианович Симонов,2006-07-26,М,65,336-907-316 13,3343576302275743,"д. Терней, алл. 50 лет Победы, д. 811 к. 83, 564694",+7 (468) 767-90-75,True
85ff6a84-405a-40af-b9cb-f5208fce3f0d,Эрнест Ильич Белозеров,2014-10-21,М,42,561-474-140 67,7340481210761342,"к. Соликамск, алл. Болотная, д. 917 к. 564, 936004",8 072 448 32 26,False
